source,target,value
heterosexual,mild,11
female,asian,24
female,white,3
homosexual,moderate,1
female,asian,4
bisexual,moderate,1
female,other,7
male,white,6
female,asian,42
asian,heterosexual,55
other,asexual,1
heterosexual,normal,1
asexual,normal,2
white,heterosexual,44
asexual,extremely_severe,1
white,asexual,2
arab,heterosexual,2
heterosexual,normal,149
asian,other,2
male,white,330
other,bisexual,50
female,other,3
heterosexual,moderate,22
female,other,4
heterosexual,mild,4
female,white,3
asian,homosexual,24
black,bisexual,3
bisexual,mild,2
bisexual,normal,2
heterosexual,moderate,64
other,extremely_severe,32
heterosexual,extremely_severe,330
asian,other,6
other,other,18
white,bisexual,34
heterosexual,mild,40
heterosexual,severe,119
female,white,3
asexual,moderate,4
asian,other,10
bisexual,normal,2
asian,bisexual,1
other,homosexual,1
heterosexual,extremely_severe,32
other,other,1
asian,other,51
other,bisexual,1
heterosexual,moderate,2
female,native american,7
heterosexual,extremely_severe,2
male,other,5
asian,asexual,2
male,black,3
male,black,4
heterosexual,moderate,55
male,arab,2
male,asian,33
female,white,27
black,heterosexual,32
asian,homosexual,2
heterosexual,moderate,11
bisexual,extremely_severe,7
heterosexual,mild,13
female,white,117
heterosexual,severe,67
heterosexual,moderate,117
native american,bisexual,1
asexual,mild,2
black,bisexual,2
black,bisexual,1
male,black,3
other,normal,2
female,other,25
bisexual,moderate,14
black,heterosexual,14
female,other,2
other,white,8
female,black,1
native american,bisexual,7
other,other,4
heterosexual,normal,25
male,asian,6
other,moderate,4
asexual,extremely_severe,42
female,white,2
other,homosexual,4
male,arab,1
female,black,2
male,white,3
female,asian,55
asexual,extremely_severe,5
homosexual,extremely_severe,24
arab,bisexual,1
bisexual,severe,1
other,white,1
female,native american,1
asian,homosexual,6
male,white,35
asian,homosexual,9
arab,heterosexual,2
bisexual,mild,3
other,severe,3
male,other,13
male,black,1
heterosexual,normal,96
male,other,11
asexual,moderate,3
homosexual,severe,9
other,bisexual,1
other,black,2
other,homosexual,5
heterosexual,mild,44
other,severe,10
black,bisexual,1
arab,heterosexual,4
male,other,1
homosexual,moderate,1
heterosexual,moderate,3
female,black,32
female,native american,1
bisexual,moderate,2
bisexual,severe,6
female,asian,4
black,heterosexual,2
asexual,moderate,3
female,native american,1
asian,asexual,1
male,asian,14
female,arab,5
male,other,1
white,homosexual,1
other,native american,1
female,black,2
white,homosexual,3
female,asian,96
black,heterosexual,3
other,white,16
asian,heterosexual,482
bisexual,normal,9
male,asian,2
bisexual,severe,1
homosexual,mild,6
white,heterosexual,149
homosexual,extremely_severe,7
black,other,1
white,bisexual,7
male,white,11
other,heterosexual,11
other,bisexual,2
other,normal,1
bisexual,extremely_severe,5
heterosexual,severe,2
heterosexual,normal,2
female,arab,21
asian,heterosexual,96
white,homosexual,1
white,homosexual,2
male,asian,3
male,asian,2
male,black,2
white,heterosexual,64
bisexual,normal,1
other,asexual,1
other,homosexual,2
male,asian,2
female,other,3
white,bisexual,25
other,homosexual,4
white,asexual,11
homosexual,extremely_severe,1
female,black,13
other,white,1
white,bisexual,16
female,arab,1
asian,asexual,3
indigenous australian,homosexual,1
female,black,1
other,mild,2
bisexual,moderate,4
homosexual,extremely_severe,35
male,arab,3
other,white,7
male,white,7
other,mild,2
bisexual,severe,25
other,other,2
native american,heterosexual,5
female,white,119
other,asian,1
asexual,extremely_severe,2
bisexual,moderate,2
asian,bisexual,5
white,other,11
asian,homosexual,1
other,mild,1
female,asian,2
other,extremely_severe,11
male,other,53
bisexual,extremely_severe,13
homosexual,severe,2
white,homosexual,44
heterosexual,normal,1
homosexual,extremely_severe,2
other,other,2
male,white,5
bisexual,normal,5
arab,other,1
other,heterosexual,14
white,heterosexual,67
heterosexual,severe,14
other,other,2
male,white,2
heterosexual,extremely_severe,602
white,homosexual,9
white,bisexual,1
male,white,2
other,other,2
asian,bisexual,2
heterosexual,moderate,1
other,asexual,1
homosexual,moderate,3
female,black,1
asian,bisexual,2
other,white,1
homosexual,normal,2
white,bisexual,2
asian,bisexual,9
other,extremely_severe,6
other,black,2
heterosexual,normal,39
bisexual,mild,5
asexual,extremely_severe,27
asexual,moderate,2
other,extremely_severe,2
bisexual,extremely_severe,3
homosexual,mild,1
black,asexual,1
male,asian,5
bisexual,normal,7
asian,other,1
indigenous australian,heterosexual,2
other,heterosexual,13
heterosexual,severe,9
female,asian,40
female,white,20
female,black,1
female,white,2
bisexual,moderate,1
female,other,13
asian,bisexual,6
other,other,1
other,homosexual,1
other,asexual,1
other,extremely_severe,18
black,heterosexual,2
heterosexual,extremely_severe,14
other,extremely_severe,51
female,arab,5
female,other,104
male,asian,39
asexual,severe,1
white,other,3
other,heterosexual,22
male,asian,135
heterosexual,severe,1
white,bisexual,9
female,black,2
white,heterosexual,1
female,white,6
black,other,1
other,normal,2
asian,other,1
female,white,2
black,heterosexual,2
other,other,1
asexual,extremely_severe,1
heterosexual,normal,10
white,asexual,27
other,white,1
male,asian,1
bisexual,extremely_severe,190
male,asian,9
other,moderate,4
heterosexual,severe,5
native american,heterosexual,1
female,white,149
female,other,50
female,asian,51
other,white,1
asian,other,2
other,homosexual,3
male,white,4
bisexual,mild,2
homosexual,normal,1
white,heterosexual,66
male,other,1
white,homosexual,1
female,asian,5
black,homosexual,2
white,asexual,8
female,asian,1
asexual,extremely_severe,11
other,mild,1
other,heterosexual,13
female,other,2
asexual,extremely_severe,3
other,white,2
male,asian,5
other,extremely_severe,1
